Model,Year Introduced,Destroyed,Damaged,Abandoned,Captured
BMPT Terminator,,1,2,0,0
"BRM-1(K) 
reconnaissance vehicle",,30,2,3,9
BRM-1 675-sb3KDZ,,1,0,0,0
"BRM-1KM 
reconnaissance vehicle",,5,0,0,1
BRM-1KM 675-sb3KDZ,,2,0,0,0
BRDM-2,,4,0,0,2
BRDM-2M/A,,5,0,0,0
BRDM-2MS,,1,0,0,0
"BRDM-2RKhb chemical 
reconnaissance vehicle",,2,0,0,2
"BRDM-2-based ZS-82 
PsyOps vehicle",,1,0,0,1
"BTR-80-based ZS-88 
PsyOps vehicle",,1,0,0,0
"BTR-80 with 57mm 
UB-32 unguided aircraft 
rocket pods",,0,1,0,0
MT-LB,,1104,18,79,146
MT-LBVM / MT-LBVMK,,129,0,10,93
"MT-LB with ZU-23 
AA gun",,37,1,0,11
"MT-LB With 14.5mm 
BPU-1 Turret",,5,0,0,0
"MT-LB with 14.5mm 
2M-7 naval gun mount",,0,0,0,1
"MT-LB with AZP S-60 
AA gun",,4,0,0,0
"MT-LB with 100mm 
MT-12 anti-tank gun",,3,0,0,0
"MT-LB with 82-mm 
automatic mortar 
2B9 Vasilek",,1,1,0,0
"MT-LB with 25mm 
2M-3 naval gun",,1,0,0,0
"MT-LBVMK with ZU-23 
AA gun",,1,0,0,0
"MT-LBVM(K) with 
25mm 2M-3 naval gun",,1,0,0,0
MT-LBu,,24,0,3,3
"MT-LBu with 57mm 
S-60",,2,0,0,0
"MT-LBu with 100mm 
MT-12 anti-tank gun",,1,0,0,0
"BMP-1 With 14.5mm 
BPU-1 Turret",,1,0,0,0
"Vityaz DT-10PM 
articulated tracked carrier",,1,0,0,0
"Vityaz DT-30 
articulated tracked carrier",,1,0,0,3
"GAZ-3344-20 'Aleut' 
articulated tracked carrier",,3,0,0,0
2S1 with ZU-23 AA gun,,0,0,0,1
Unknown BTR-D / BMD-2,,12,0,0,0
BMM-80 ambulance,,2,0,0,0
Unknown AFV,,308,11,17,1
