Model,Year Introduced,Destroyed,Damaged,Abandoned,Captured
T-54-3M,1952,1,0,1,0
T-54B,1957,2,0,0,0
T-55A,1964,2,1,0,0
T-55A Obr. 1981,1981,1,0,0,0
Unknown T-54/55,,4,0,2,0
T-62 Obr. 1967,1967,4,0,0,1
T-62 Obr. 1972,1972,1,0,1,0
T-62M,1983,82,9,8,34
T-62M Obr. 2022,2022,40,2,3,1
T-62MV,1985,22,1,3,10
T-62MV Obr. 2022,2022,8,1,1,0
Unknown T-62,,34,0,5,0
T-64A,1967,2,1,0,0
T-64BV,1985,73,10,6,3
T-64BVK,1985,2,0,0,0
Unknown T-64,,1,0,0,0
T-72 'Ural',1973,2,0,2,0
T-72A,1979,29,1,7,9
T-72AV,1985,21,0,2,4
T-72B,1984,256,8,27,64
T-72B Obr. 1989,1989,80,4,13,19
T-72B Obr. 2022,2022,117,3,36,1
T-72BA,1985,14,2,0,15
T-72B3,2010,249,25,23,76
T-72B3 Obr. 2014,2014,2,0,0,2
T-72B3 Obr. 2016,2016,172,6,8,106
T-72B3 Obr. 2022,2022,79,3,8,4
Unknown T-72,,168,16,14,3
T-80B,1978,4,0,0,0
T-80BV,1985,512,20,73,77
T-80BV Obr. 2022,2022,92,0,9,0
T-80BVK,1985,3,0,0,1
T-80U,1985,54,1,6,43
T-80UK,1992,1,0,0,1
T-80UE-1,2005,3,0,0,4
T-80UM2,1995,1,0,0,0
T-80BVM,2017,97,6,10,30
T-80BVM Obr. 2022,2022,63,0,7,5
Unknown T-80,,29,2,6,2
T-90A,2004,29,0,3,10
T-90AK,2006,1,0,0,0
T-90S,1992,9,0,1,1
T-90M,2018,80,16,30,7
Unknown tank,,424,20,71,0
